report_0,frequency,count
Possible atrial flutter with rapid ventricular response with multifocal PVCs,2.499890629784947e-06,2
Sinus bradycardia with PVCs with borderline 1st degree A-V block.,1.749923440849463e-05,14
Possible atrial flutter with interpolated PVC(s).,4.999781259569894e-06,4
Atrial flutter with PVCs,4.999781259569894e-06,4
Irregular ectopic atrial bradycardia with PVC(s).,2.499890629784947e-06,2
Possible ectopic atrial tachycardia with PAC(s).,2.249901566806452e-05,18
PACER DETECTION SUSPENDED DUE TO EXTERNAL NOISE-REVIEW ADVISED,1.749923440849463e-05,14
Sinus bradycardia with paroxysmal idioventricular rhythm,3.7498359446774206e-06,3
Sinus rhythm with interpolated PVC(s) with borderline 1st degree A-V block,2.624885161274194e-05,21
Sinus rhythm with frequent multifocal PVCs with 1st degree A-V block.,1.749923440849463e-05,14
Probable atrial fibrillation with fusion complexes,6.249726574462367e-06,5
Probable accelerated junctional rhythm with PVC(s),8.749617204247314e-06,7
Sinus bradycardia with occasional PACs with 1st degree A-V block.,4.999781259569894e-06,4
Possible ectopic atrial rhythm with occasional PACs,4.999781259569894e-06,4
Sinus tachycardia with sinus arrhythmia with PAC(s) with borderline 1st degree A-V block,6.249726574462367e-06,5
Sinus rhythm with multifocal PVCs with PACs.,1.2499453148924734e-05,10
Sinus bradycardia with aberrantly conducted supraventricular complexes with interpolated PVC(s) with borderline 1st degree A-V block,1.2499453148924734e-06,1
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes,1.6249289093602155e-05,13
Sinus rhythm with 2:1 A-V block.,1.749923440849463e-05,14
Sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes.,4.999781259569894e-06,4
Sinus rhythm with PVC(s) with PAC(s) with 1st degree A-V block,7.374677357865593e-05,59
Sinus tachycardia with PVCs with borderline 1st degree A-V block.,1.4999343778709682e-05,12
Sinus rhythm with intermittent conduction defect.,3.124863287231184e-05,25
Sinus bradycardia with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block.,4.999781259569894e-06,4
Sinus rhythm with frequent PACs with 1st degree A-V block.,3.7498359446774206e-06,3
Atrial fibrillation with slow ventricular response with frequent multifocal PVCs or aberrant ventricular conduction,1.3749398463817207e-05,11
Sinus arrhythmia with aberrantly conducted supraventricular complexes.,4.499803133612904e-05,36
Atrial flutter with slow ventricular response with 4:1 A-V block,3.124863287231184e-05,25
Sinus bradycardia with interpolated PVCs.,2.249901566806452e-05,18
ATRIAL FLUTTER,3.3748523502096784e-05,27
Irregular ectopic atrial rhythm with frequent PVCs.,2.499890629784947e-06,2
Irregular ectopic atrial rhythm with PVC(s),3.249857818720431e-05,26
SINUS BRADYCARDIA. CONSIDER 2:1 SINO-ATRIAL BLOCK.,6.249726574462367e-06,5
Sinus rhythm with aberrantly conducted supraventricular complexes with 1st degree A-V block,3.7498359446774204e-05,30
Atrial fibrillation with uncontrolled ventricular response with non-sustained ventricular tachycardia.,2.624885161274194e-05,21
Sinus bradycardia with PVC(s) with PAC(s).,3.7498359446774204e-05,30
Sinus tachycardia with frequent multifocal PVCs with PACs.,1.2499453148924734e-05,10
Possible atrial flutter with uncontrolled ventricular response with PVC(s),2.499890629784947e-06,2
Sinus rhythm with PVC(s) with PAC(s) with borderline 1st degree A-V block.,3.124863287231184e-05,25
Sinus tachycardia with PVC(s) with PAC(s) with borderline 1st degree A-V block,2.3748960982956995e-05,19
Sinus tachycardia with frequent PVCs with PAC(s).,1.124950783403226e-05,9
Sinus tachycardia with paroxysmal idioventricular rhythm.,7.499671889354841e-06,6
Sinus rhythm with multifocal interpolated PVCs,2.624885161274194e-05,21
Sinus rhythm with 2nd degree (Mobitz II) SA block.,2.8748742242526888e-05,23
Sinus bradycardia with sinus arrhythmia with frequent PVCs with 1st degree A-V block,2.499890629784947e-06,2
Possible ectopic atrial bradycardia with PACs.,1.4999343778709682e-05,12
Probable atrial fibrillation with uncontrolled ventricular response with PVCs.,1.124950783403226e-05,9
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVCs with PACs.,8.749617204247314e-06,7
Sinus bradycardia with intermittent conduction defect.,2.499890629784947e-06,2
Sinus bradycardia with sinus arrhythmia with PACs,1.3749398463817207e-05,11
Sinus arrhythmia with PVCs with 1st degree A-V block,3.624841413188173e-05,29
Atrial flutter with frequent multifocal PVCs or aberrant ventricular conduction,8.749617204247314e-06,7
Sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block,1.2499453148924734e-06,1
Sinus bradycardia with multifocal interpolated PVCs.,4.999781259569894e-06,4
Sinus arrhythmia with frequent PVCs with 1st degree A-V block,7.499671889354841e-06,6
A-flutter/fibrillation w/ complete AV block,2.4998906297849468e-05,20
Sinus bradycardia with sinus arrhythmia with frequent PVCs,1.124950783403226e-05,9
Possible ectopic atrial rhythm with aberrantly conducted supraventricular complexes with frequent multifocal PVCs,1.2499453148924734e-06,1
Sinus tachycardia with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block,2.499890629784947e-06,2
Sinus rhythm with paroxysmal idioventricular rhythm.,1.9999125038279575e-05,16
PEDIATRIC CRITERIA USED,4.999781259569894e-06,4
Sinus bradycardia with sinus arrhythmia with PAC(s).,2.249901566806452e-05,18
Atrial flutter with uncontrolled ventricular response with PVCs or aberrant ventricular conduction.,4.999781259569894e-06,4
Sinus bradycardia with sinus arrhythmia with PACs.,1.2499453148924734e-05,10
Sinus rhythm with bigeminal PVCs with borderline 1st degree A-V block,4.9997812595698936e-05,40
Sinus rhythm with undetermined irregularity.,1.2499453148924734e-06,1
A-V SEQUENTIAL PACEMAKER,3.499846881698926e-05,28
Sinus rhythm with 2:1 A-V block,3.999825007655915e-05,32
Probable sinus tachycardia with PVC(s).,1.2499453148924734e-06,1
Sinus rhythm with frequent multifocal PVCs with PACs with borderline 1st degree A-V block.,1.2499453148924734e-06,1
Sinus bradycardia with interpolated PVCs with borderline 1st degree A-V block,1.124950783403226e-05,9
Possible atrial flutter with multifocal PVCs or aberrant ventricular conduction,1.2499453148924734e-05,10
Atrial flutter with multifocal PVCs,6.249726574462367e-06,5
Sinus rhythm with multifocal PVCs with PAC(s) with 1st degree A-V block.,1.2499453148924734e-06,1
Atrial fibrillation with slow ventricular response with paroxysmal idioventricular rhythm.,8.749617204247314e-06,7
Irregular ectopic atrial bradycardia with frequent multifocal PVCs,1.2499453148924734e-06,1
Sinus rhythm with 2nd degree (Mobitz II) SA block with 1st degree A-V block,8.749617204247314e-06,7
Sinus bradycardia with occasional PACs.,8.749617204247314e-06,7
Sinus bradycardia with PVCs with PACs with 1st degree A-V block.,3.7498359446774206e-06,3
Atrial flutter with 2:1 A-V block.,7.499671889354841e-06,6
Atrial flutter with slow ventricular response with variable A-V block,2.499890629784947e-06,2
Possible ectopic atrial tachycardia with frequent multifocal PVCs.,1.2499453148924734e-06,1
Possible ectopic atrial tachycardia with frequent PACs.,1.2499453148924734e-06,1
Sinus arrhythmia with aberrantly conducted supraventricular complexes with borderline 1st degree A-V block.,2.499890629784947e-06,2
Possible junctional bradycardia,1.749923440849463e-05,14
Sinus tachycardia with multifocal PVCs with borderline 1st degree A-V block.,3.7498359446774206e-06,3
Sinus bradycardia with sinus arrhythmia with PVCs with borderline 1st degree A-V block,7.499671889354841e-06,6
Atrial fibrillation with slow ventricular response with multifocal PVCs or aberrant ventricular conduction.,9.999562519139788e-06,8
Irregular ectopic atrial rhythm with frequent multifocal PVCs,8.749617204247314e-06,7
Irregular ectopic atrial rhythm with frequent PVCs,3.7498359446774206e-06,3
Sinus arrhythmia with frequent multifocal PVCs with 1st degree A-V block,8.749617204247314e-06,7
Atrial fibrillation with frequent multifocal PVCs,5.124775791059141e-05,41
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with multifocal PVCs,2.499890629784947e-06,2
Atrial flutter with interpolated PVC(s).,3.7498359446774206e-06,3
Sinus rhythm with intermittent conduction defect with borderline 1st degree A-V block.,1.2499453148924734e-06,1
Sinus arrhythmia with interpolated PVCs,2.7498796927634415e-05,22
Sinus bradycardia with non-sustained ventricular tachycardia,1.2499453148924734e-06,1
Possible atrial flutter with paroxysmal idioventricular rhythm or aberrant ventricular conduction,1.2499453148924734e-06,1
Sinus rhythm with frequent PACs with borderline 1st degree A-V block,1.124950783403226e-05,9
Sinus bradycardia with sinus arrhythmia with multifocal PVCs,9.999562519139788e-06,8
Sinus tachycardia with frequent PVCs with PACs.,1.2499453148924734e-05,10
Possible ectopic atrial bradycardia with interpolated PVCs,4.999781259569894e-06,4
Sinus tachycardia with sinus arrhythmia with PVCs,3.3748523502096784e-05,27
Sinus arrhythmia with interpolated PVCs.,1.4999343778709682e-05,12
Sinus bradycardia with frequent PACs,1.749923440849463e-05,14
Sinus tachycardia with sinus arrhythmia with PAC(s),8.749617204247314e-06,7
Atrial flutter with rapid ventricular response with PVCs or aberrant ventricular conduction,1.2499453148924734e-05,10
ACCELERATED IDIOVENTRICULAR RHYTHM,4.499803133612904e-05,36
Atrial flutter with slow ventricular response with high degree A-V block,3.249857818720431e-05,26
Sinus rhythm with frequent PVCs with PAC(s),4.24981407063441e-05,34
POSSIBLE ECTOPIC ATRIAL TACHYCARDIA,1.4999343778709682e-05,12
Probable atrial fibrillation with slow ventricular response with PVCs,8.749617204247314e-06,7
Sinus rhythm with fusion complexes with borderline 1st degree A-V block,1.2499453148924734e-06,1
Sinus bradycardia with sinus arrhythmia with undetermined irregularity with 1st degree A-V block,3.7498359446774206e-06,3
Sinus tachycardia with frequent PVCs with PAC(s),1.749923440849463e-05,14
Sinus rhythm with multifocal PVCs with PACs with 1st degree A-V block.,2.499890629784947e-06,2
Possible ectopic atrial tachycardia with PACs,1.3749398463817207e-05,11
Accerated idioventricular rhythm,4.999781259569894e-06,4
Possible atrial flutter with intermittent conduction defect.,1.2499453148924734e-06,1
Sinus bradycardia with sinus arrhythmia with PACs with 1st degree A-V block.,1.124950783403226e-05,9
Atrial fibrillation with rapid ventricular response with frequent multifocal PVCs,1.2499453148924734e-05,10
Atrial flutter with PVC(s).,1.3749398463817207e-05,11
Atrial fibrillation with uncontrolled ventricular response with PVC(s) or aberrant ventricular conduction.,1.8749179723387102e-05,15
Sinus rhythm with aberrantly conducted supraventricular complexes with frequent multifocal PVCs with PAC(s),2.499890629784947e-06,2
Possible ectopic atrial rhythm with multifocal interpolated PVCs.,2.499890629784947e-06,2
Sinus rhythm with aberrantly conducted supraventricular complexes with PVCs.,1.8749179723387102e-05,15
Possible ectopic atrial rhythm with PVCs with PACs,1.3749398463817207e-05,11
ECTOPIC ATRIAL RHYTHM,2.624885161274194e-05,21
PROBABLE ATRIAL FIBRILLATION WITH RAPID VENTRICULAR RESPONSE,8.749617204247314e-06,7
Sinus tachycardia with sinus arrhythmia with PACs.,1.124950783403226e-05,9
Possible ectopic atrial rhythm with interpolated PVCs,9.999562519139788e-06,8
Possible atrial flutter with rapid ventricular response with frequent PVCs,3.7498359446774206e-06,3
Sinus tachycardia with sinus arrhythmia with intermittent conduction defect with borderline 1st degree A-V block,2.499890629784947e-06,2
Sinus arrhythmia with paroxysmal idioventricular rhythm.,3.7498359446774206e-06,3
Sinus tachycardia with frequent multifocal PVCs with PAC(s),1.2499453148924734e-05,10
Sinus arrhythmia with multifocal interpolated PVCs,2.499890629784947e-06,2
Atrial flutter with rapid ventricular response with non-sustained ventricular tachycardia.,1.2499453148924734e-05,10
AV sequential pacing.,9.999562519139788e-06,8
*** PEDIATRIC CRITERIA USED ***,7.499671889354841e-06,6
PROBABLE JUNCTIONAL RHYTHM,2.499890629784947e-06,2
Sinus tachycardia with frequent multifocal PVCs with PAC(s).,7.499671889354841e-06,6
Possible atrial flutter with interpolated PVC(s),9.999562519139788e-06,8
Sinus bradycardia with aberrantly conducted supraventricular complexes with 1st degree A-V block.,8.749617204247314e-06,7
SINUS BRADYCARDIA. CONSIDER SINUS RHYTHM WITH 2:1 SINO-ATRIAL BLOCK.,3.7498359446774206e-06,3
Atrial flutter with multifocal PVCs or aberrant ventricular conduction,1.3749398463817207e-05,11
Possible ectopic atrial bradycardia with multifocal PVCs,2.499890629784947e-06,2
Atrial fibrillation with fusion complexes or aberrant ventricular conduction,3.499846881698926e-05,28
Atrial flutter with rapid ventricular response with PVC(s).,2.7498796927634415e-05,22
Irregular ectopic atrial rhythm with aberrantly conducted supraventricular complexes with multifocal PVCs.,1.2499453148924734e-06,1
Possible ectopic atrial rhythm with bigeminal PACs.,1.3749398463817207e-05,11
Irregular ectopic atrial rhythm with PVC(s).,1.4999343778709682e-05,12
Atrial fibrillation with uncontrolled ventricular response with multifocal PVCs,3.7498359446774206e-06,3
Sinus bradycardia with frequent PACs with 1st degree A-V block.,2.499890629784947e-06,2
Sinus arrhythmia with frequent multifocal PVCs.,2.4998906297849468e-05,20
Possible ectopic atrial tachycardia with PVC(s).,1.124950783403226e-05,9
Sinus rhythm with occasional PACs with borderline 1st degree A-V block.,7.499671889354841e-06,6
Sinus arrhythmia with multifocal interpolated PVCs.,4.999781259569894e-06,4
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes.,1.6249289093602155e-05,13
Sinus bradycardia with sinus arrhythmia with undetermined irregularity.,2.499890629784947e-06,2
Sinus rhythm with aberrantly conducted supraventricular complexes with interpolated PVC(s),1.3749398463817207e-05,11
Probable atrial fibrillation with uncontrolled ventricular response with PVCs or aberrant ventricular conduction.,2.499890629784947e-06,2
--- Recording unsuitable for analysis - please repeat ---,3.7498359446774206e-06,3
Sinus tachycardia with sinus arrhythmia with PVC(s) with borderline 1st degree A-V block,8.749617204247314e-06,7
Possible atrial flutter with PVCs,3.624841413188173e-05,29
Sinus bradycardia with PVCs with PACs with borderline 1st degree A-V block.,3.7498359446774206e-06,3
Possible ectopic atrial bradycardia with occasional PACs.,1.2499453148924734e-06,1
Sinus tachycardia with fusion complexes with PAC(s),1.2499453148924734e-06,1
Sinus rhythm with fusion complexes with PACs,1.2499453148924734e-06,1
Probable supraventricular tachycardia with PVC(s),1.2499453148924734e-06,1
Sinus bradycardia with sinus arrhythmia with PVC(s) with borderline 1st degree A-V block.,6.249726574462367e-06,5
Sinus tachycardia with interpolated PVC(s),6.249726574462367e-06,5
Possible ectopic atrial tachycardia with aberrantly conducted supraventricular complexes,2.499890629784947e-06,2
Sinus rhythm with aberrantly conducted supraventricular complexes with PVCs with 1st degree A-V block.,3.7498359446774206e-06,3
Sinus tachycardia with sinus arrhythmia with multifocal PVCs with borderline 1st degree A-V block.,1.2499453148924734e-06,1
Probable atrial fibrillation with rapid ventricular response with frequent multifocal PVCs.,2.499890629784947e-06,2
Atrial flutter with PVCs or aberrant ventricular conduction,1.6249289093602155e-05,13
Probable atrial fibrillation with uncontrolled ventricular response with PVC(s),6.249726574462367e-06,5
Sinus bradycardia with interpolated PVCs with 1st degree A-V block,4.999781259569894e-06,4
WIDE COMPLEX TACHYCARDIA - POSSIBLE SUPRAVENTRICULAR TACHYCARDIA,1.2499453148924734e-06,1
Irregular ectopic atrial rhythm with PVC(s) or aberrant ventricular conduction,1.2499453148924734e-06,1
Possible atrial flutter with rapid ventricular response with frequent PVCs or aberrant ventricular conduction.,9.999562519139788e-06,8
Probable atrial tachycardia with PVC(s),1.2499453148924734e-06,1
Probable sinus tachycardia with non-sustained ventricular tachycardia,1.2499453148924734e-06,1
Sinus bradycardia with sinus arrhythmia with frequent multifocal PVCs,4.999781259569894e-06,4
Possible atrial flutter with rapid ventricular response with non-sustained ventricular tachycardia.,8.749617204247314e-06,7
Sinus bradycardia with interpolated PVC(s) with PAC(s),2.499890629784947e-06,2
Sinus rhythm with non-sustained ventricular tachycardia with PAC(s).,2.499890629784947e-06,2
IRREGULAR ECTOPIC ATRIAL BRADYCARDIA,2.499890629784947e-06,2
Possible atrial flutter with bigeminal PVCs or aberrant ventricular conduction,7.499671889354841e-06,6
Possible ectopic atrial bradycardia with interpolated PVC(s),1.124950783403226e-05,9
Irregular ectopic atrial bradycardia with PAC(s).,2.499890629784947e-06,2
Sinus bradycardia with sinus arrhythmia with multifocal interpolated PVCs,2.499890629784947e-06,2
Sinus bradycardia with paroxysmal idioventricular rhythm.,1.2499453148924734e-06,1
Atrial flutter with multifocal PVCs or aberrant ventricular conduction.,6.249726574462367e-06,5
"Sinus bradycardia with sinus arrhythmia with 2nd degree A-V block, Mobitz II.",3.7498359446774206e-06,3
Sinus rhythm with occasional PACs with borderline 1st degree A-V block,1.124950783403226e-05,9
Sinus rhythm with undetermined irregularity,6.249726574462367e-06,5
Possible atrial flutter with interpolated PVCs or aberrant ventricular conduction,1.2499453148924734e-06,1
Possible atrial flutter with rapid ventricular response with frequent PVCs or aberrant ventricular conduction,1.6249289093602155e-05,13
Uncertain rhythm: review,3.3748523502096784e-05,27
Probable sinus tachycardia with PVCs,2.499890629784947e-06,2
Sinus bradycardia with multifocal PVCs.,1.2499453148924734e-05,10
Sinus tachycardia with frequent PVCs with borderline 1st degree A-V block,1.124950783403226e-05,9
Probable accelerated junctional rhythm with PVC(s).,8.749617204247314e-06,7
PROBABLE SUPRAVENTRICULAR TACHYCARDIA,2.499890629784947e-06,2
Sinus arrhythmia with intermittent conduction defect,3.7498359446774206e-06,3
Atrial fibrillation with slow ventricular response with frequent multifocal PVCs.,4.999781259569894e-06,4
Atrial fibrillation with slow ventricular response with frequent multifocal PVCs or aberrant ventricular conduction.,7.499671889354841e-06,6
Probable atrial fibrillation with frequent PVCs.,1.124950783403226e-05,9
Probable accelerated junctional rhythm with PVCs.,3.7498359446774206e-06,3
Sinus rhythm with paroxysmal idioventricular rhythm with 1st degree A-V block,7.499671889354841e-06,6
Atrial flutter with slow ventricular response with PVCs or aberrant ventricular conduction.,1.2499453148924734e-06,1
Atrial fibrillation with uncontrolled ventricular response with frequent PVCs or aberrant ventricular conduction,2.499890629784947e-06,2
Possible ectopic atrial bradycardia with PVC(s) with PAC(s),8.749617204247314e-06,7
Atrial flutter with bigeminal PVCs or aberrant ventricular conduction,6.249726574462367e-06,5
Probable atrial fibrillation with intermittent conduction defect,3.7498359446774206e-06,3
Sinus bradycardia with aberrantly conducted supraventricular complexes with PVCs,2.499890629784947e-06,2
Sinus tachycardia with PVCs with PACs with 1st degree A-V block,2.499890629784947e-06,2
Sinus arrhythmia with fusion complexes with 1st degree A-V block,1.2499453148924734e-06,1
PROBABLE A-V JUNCTIONAL RHYTHM,1.2499453148924734e-06,1
Sinus bradycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block with 1st degree A-V block,1.3749398463817207e-05,11
Possible ectopic atrial bradycardia with frequent multifocal PVCs.,1.2499453148924734e-06,1
Atrial flutter with frequent PVCs or aberrant ventricular conduction,7.499671889354841e-06,6
Probable accelerated junctional rhythm with paroxysmal idioventricular rhythm,2.499890629784947e-06,2
Possible atrial flutter with frequent PVCs or aberrant ventricular conduction.,8.749617204247314e-06,7
Possible ectopic atrial bradycardia with multifocal PVCs with PACs,1.2499453148924734e-06,1
Possible ectopic atrial rhythm with frequent PACs,9.999562519139788e-06,8
Sinus tachycardia with non-sustained ventricular tachycardia,1.2499453148924734e-05,10
Possible ectopic atrial tachycardia with aberrantly conducted supraventricular complexes with PVC(s) with PAC(s).,1.2499453148924734e-06,1
Probable atrial fibrillation with uncontrolled ventricular response with frequent PVCs or aberrant ventricular conduction,1.2499453148924734e-06,1
Probable atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia.,1.3749398463817207e-05,11
Possible atrial flutter with slow ventricular response with PVC(s) or aberrant ventricular conduction,4.999781259569894e-06,4
Atrial fibrillation with slow ventricular response with PVCs or aberrant ventricular conduction,5.249770322548388e-05,42
Possible ectopic atrial rhythm with aberrantly conducted supraventricular complexes with interpolated PVC(s),1.2499453148924734e-06,1
Possible ectopic atrial rhythm with PVCs with occasional PACs,4.999781259569894e-06,4
Irregular ectopic atrial tachycardia with frequent PVCs,1.2499453148924734e-06,1
Sinus rhythm with frequent PVCs with PAC(s) with borderline 1st degree A-V block,3.7498359446774206e-06,3
Possible ectopic atrial rhythm with multifocal PVCs.,1.124950783403226e-05,9
Sinus tachycardia with sinus arrhythmia with PVC(s) with borderline 1st degree A-V block.,3.7498359446774206e-06,3
Sinus arrhythmia with frequent multifocal PVCs with 1st degree A-V block.,2.499890629784947e-06,2
Possible ectopic atrial rhythm with PVC(s) with PAC(s).,1.8749179723387102e-05,15
Atrial fibrillation with slow ventricular response with multifocal PVCs.,1.2499453148924734e-05,10
Undetermined rhythm with fusion complexes or aberrant ventricular conduction,2.499890629784947e-06,2
Sinus tachycardia with interpolated PVC(s).,6.249726574462367e-06,5
Sinus tachycardia with sinus arrhythmia with PVCs.,5.62475391701613e-05,45
Probable atrial fibrillation with rapid ventricular response with paroxysmal idioventricular rhythm or aberrant ventricular conduction,4.999781259569894e-06,4
Possible atrial flutter with slow ventricular response with PVC(s).,3.7498359446774206e-06,3
Sinus rhythm with aberrantly conducted supraventricular complexes with PVCs with borderline 1st degree A-V block.,2.499890629784947e-06,2
Possible atrial flutter with multifocal PVCs or aberrant ventricular conduction.,1.4999343778709682e-05,12
Possible ectopic atrial rhythm with interpolated PVCs.,4.999781259569894e-06,4
Probable atrial fibrillation with rapid ventricular response with multifocal PVCs or aberrant ventricular conduction.,1.749923440849463e-05,14
Atrial fibrillation with uncontrolled ventricular response with frequent multifocal PVCs or aberrant ventricular conduction.,1.2499453148924734e-06,1
Sinus bradycardia with fusion complexes with borderline 1st degree A-V block,2.499890629784947e-06,2
Sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes,1.6249289093602155e-05,13
Possible atrial flutter with slow ventricular response with interpolated PVCs,1.2499453148924734e-06,1
Sinus bradycardia with multifocal interpolated PVCs with 1st degree A-V block,2.499890629784947e-06,2
Possible atrial flutter with uncontrolled ventricular response with PVCs or aberrant ventricular conduction.,2.499890629784947e-06,2
Irregular ectopic atrial rhythm with interpolated PVCs,6.249726574462367e-06,5
Sinus tachycardia with multifocal PVCs with borderline 1st degree A-V block,2.499890629784947e-06,2
Sinus tachycardia with PVCs with PACs with borderline 1st degree A-V block,8.749617204247314e-06,7
Sinus tachycardia with sinus arrhythmia with PVCs with borderline 1st degree A-V block,1.2499453148924734e-06,1
Sinus rhythm with aberrantly conducted supraventricular complexes with multifocal PVCs.,1.2499453148924734e-05,10
PROBABLE SINUS TACHYCARDIA. ? ATRIAL TACHYCARDIA OR FLUTTER + 2:1 A-V BLOCK,8.749617204247314e-06,7
Sinus rhythm with interpolated PVC(s) with 1st degree A-V block.,7.499671889354841e-06,6
Atrial flutter with rapid ventricular response with PVCs,1.2499453148924734e-05,10
Sinus arrhythmia with aberrantly conducted supraventricular complexes with PVCs,3.7498359446774206e-06,3
Possible ectopic atrial rhythm with aberrantly conducted supraventricular complexes,1.2499453148924734e-05,10
Possible ectopic atrial tachycardia with non-sustained ventricular tachycardia.,1.2499453148924734e-06,1
Possible ectopic atrial rhythm with frequent multifocal PVCs with PACs,3.7498359446774206e-06,3
Atrial fibrillation with rapid ventricular response with fusion complexes,6.249726574462367e-06,5
Atrial flutter with variable A-V block,3.7498359446774206e-06,3
Sinus rhythm with intermittent conduction defect with borderline 1st degree A-V block,3.7498359446774206e-06,3
Sinus bradycardia with PVCs with occasional PACs.,3.7498359446774206e-06,3
Possible atrial flutter with rapid ventricular response with interpolated PVCs,2.499890629784947e-06,2
Probable atrial fibrillation with intermittent conduction defect.,2.499890629784947e-06,2
Sinus rhythm with aberrantly conducted supraventricular complexes with interpolated PVC(s).,6.249726574462367e-06,5
Sinus tachycardia with intermittent conduction defect,2.499890629784947e-06,2
Atrial fibrillation with slow ventricular response with multifocal PVCs,1.3749398463817207e-05,11
Irregular ectopic atrial bradycardia with PVCs,3.7498359446774206e-06,3
UNDETERMINED RHYTHM,1.749923440849463e-05,14
Sinus rhythm with aberrantly conducted supraventricular complexes with PVCs with PACs.,1.2499453148924734e-05,10
Sinus tachycardia with intermittent conduction defect.,8.749617204247314e-06,7
Sinus rhythm with paroxysmal idioventricular rhythm,1.9999125038279575e-05,16
Sinus arrhythmia with interpolated PVC(s) with borderline 1st degree A-V block,3.7498359446774206e-06,3
Sinus arrhythmia with frequent PVCs with borderline 1st degree A-V block.,6.249726574462367e-06,5
Sinus rhythm with aberrantly conducted supraventricular complexes with interpolated PVCs with borderline 1st degree A-V block,2.499890629784947e-06,2
Possible accelerated junctional rhythm with PVC(s).,2.499890629784947e-06,2
Sinus tachycardia with sinus arrhythmia with PVCs with borderline 1st degree A-V block.,2.499890629784947e-06,2
Sinus tachycardia with PVC(s) with 1st degree A-V block,4.999781259569894e-06,4
Sinus rhythm with aberrantly conducted supraventricular complexes with interpolated PVC(s) with borderline 1st degree A-V block.,1.2499453148924734e-06,1
Possible atrial flutter with rapid ventricular response with paroxysmal idioventricular rhythm or aberrant ventricular conduction.,2.499890629784947e-06,2
Sinus bradycardia with frequent PVCs with borderline 1st degree A-V block,4.999781259569894e-06,4
Possible ectopic atrial rhythm with intermittent conduction defect.,2.499890629784947e-06,2
Sinus tachycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block.,4.999781259569894e-06,4
IRREGULAR ECTOPIC ATRIAL RHYTHM,6.249726574462367e-06,5
Atrial fibrillation with slow ventricular response with fusion complexes,3.7498359446774206e-06,3
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with PVCs.,2.499890629784947e-06,2
Sinus bradycardia with aberrantly conducted supraventricular complexes with PAC(s),4.999781259569894e-06,4
Sinus tachycardia with paroxysmal idioventricular rhythm,2.499890629784947e-06,2
Possible ectopic atrial rhythm with interpolated PVCs with PACs.,1.2499453148924734e-06,1
Sinus rhythm with interpolated PVC(s) with borderline 1st degree A-V block.,6.249726574462367e-06,5
Sinus rhythm with multifocal interpolated PVCs with 1st degree A-V block.,2.499890629784947e-06,2
Sinus rhythm with 2nd degree (Mobitz II) SA block with 1st degree A-V block.,9.999562519139788e-06,8
Atrial flutter with slow ventricular response with PVC(s),7.499671889354841e-06,6
Sinus arrhythmia with aberrantly conducted supraventricular complexes with 1st degree A-V block.,3.7498359446774206e-06,3
Probable atrial fibrillation with slow ventricular response with PVCs or aberrant ventricular conduction,3.7498359446774206e-06,3
Sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with PVC(s),1.2499453148924734e-06,1
Sinus bradycardia with PVC(s) with PAC(s) with 1st degree A-V block,1.3749398463817207e-05,11
Sinus arrhythmia with aberrantly conducted supraventricular complexes with PVCs.,8.749617204247314e-06,7
Atrial flutter with slow ventricular response with bigeminal PVCs or aberrant ventricular conduction,1.2499453148924734e-06,1
Irregular ectopic atrial tachycardia with frequent multifocal PVCs,2.499890629784947e-06,2
Sinus rhythm with frequent PVCs with PACs.,6.249726574462367e-06,5
Probable atrial fibrillation with paroxysmal idioventricular rhythm.,3.7498359446774206e-06,3
Sinus bradycardia with frequent PACs with borderline 1st degree A-V block.,2.499890629784947e-06,2
Sinus tachycardia with sinus arrhythmia with PACs,1.124950783403226e-05,9
Possible ectopic atrial rhythm with varying 2nd degree A-V block,1.2499453148924734e-06,1
Probable atrial fibrillation with rapid ventricular response with frequent PVCs.,7.499671889354841e-06,6
Possible atrial flutter with paroxysmal idioventricular rhythm or aberrant ventricular conduction.,2.499890629784947e-06,2
Atrial fibrillation with rapid ventricular response with frequent multifocal PVCs.,1.3749398463817207e-05,11
Sinus bradycardia with interpolated PVC(s) with borderline 1st degree A-V block,1.124950783403226e-05,9
Irregular ectopic atrial tachycardia with PACs.,2.499890629784947e-06,2
Probable accelerated junctional rhythm with frequent PVCs.,2.499890629784947e-06,2
Probable atrial fibrillation with slow ventricular response.,2.249901566806452e-05,18
